Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
PayPal,2,YouTube.com is the brainchild of three former employees of what other major website? ,396,1.349,79,372716.700000003,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 375634.89999999106, 'date time': 1669838575429}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 375637.09999999404, 'date time': 1669838575431}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 376617.09999999404, 'date time': 1669838576411}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 376626.89999999106, 'date time': 1669838576421}]",p,K,3265.199999988079,378715.200000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Catapult ,2,What artillery weapon was launched upon the world in 400 B.C.?  ,140,1.354,80,378715.200000003,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 380391.299999997, 'date time': 1669838580185}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 380392.59999999404, 'date time': 1669838580187}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 381436.09999999404, 'date time': 1669838581230}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 381445.39999999106, 'date time': 1669838581239}]",p,K,2173.0,383715.299999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Chicago,6,What city has the only drive-thru post office in the world? ,147,0.664,81,383715.299999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 383968.89999999106, 'date time': 1669838583763}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 383971.59999999404, 'date time': 1669838583766}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 385980.299999997, 'date time': 1669838585774}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 385987.39999999106, 'date time': 1669838585781}]",p,K,1724.2999999970198,386712.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Pepper and Mustard,5,What are the top two most popular spices in the world?,422,0.784,82,386712.89999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 388177.09999999404, 'date time': 1669838587971}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 388178.700000003, 'date time': 1669838587973}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 389596.700000003, 'date time': 1669838589391}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 389605.200000003, 'date time': 1669838589399}]",p,K,2150.6000000089407,390711.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The La Brea tar pits ,1,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.232,83,390711.09999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 391284, 'date time': 1669838591078}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 391286.39999999106, 'date time': 1669838591080}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 393129.200000003, 'date time': 1669838592923}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 393138.299999997, 'date time': 1669838592932}]",p,K,1622.7999999970198,394714.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
"Cle(a)veland, Ohio",2,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,1.714,84,394714.89999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 395690.700000003, 'date time': 1669838595485}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 395692.299999997, 'date time': 1669838595486}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 396982.89999999106, 'date time': 1669838596777}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 397007.700000003, 'date time': 1669838596802}]",p,K,1697.7000000029802,398714.700000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Andy Kaufman,3,Who was banned from Saturday Night Live by viewer phone vote in 1982? ,376,1.699,85,398714.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 399919.39999999106, 'date time': 1669838599713}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 399921.39999999106, 'date time': 1669838599715}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 400902.799999997, 'date time': 1669838600697}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 400913.299999997, 'date time': 1669838600707}]",p,K,1627.9000000059605,402712.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Dutch Oven,2,"What kind of ""oven"" is the official state cooking pot of Utah? ",220,1.958,86,402712.39999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 403261.59999999404, 'date time': 1669838603056}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 403262.299999997, 'date time': 1669838603056}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 404884, 'date time': 1669838604678}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 404892.09999999404, 'date time': 1669838604686}]",p,K,1726.2000000029802,407715.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
chickpeas,1,What is used to make hummus?,424,0.928,87,407715.09999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 408287.09999999404, 'date time': 1669838608083}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 408288.200000003, 'date time': 1669838608084}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 410295.09999999404, 'date time': 1669838610091}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 410304.59999999404, 'date time': 1669838610101}]",p,K,1817.7999999970198,411722.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Chitty Chitty Bang Bang ,3,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.091,88,411722.89999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 412486.89999999106, 'date time': 1669838612283}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 412488.09999999404, 'date time': 1669838612284}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 414137.799999997, 'date time': 1669838613934}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 414147.700000003, 'date time': 1669838613944}]",p,K,1828.7000000029802,415710.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Pen(n)sylvania ,6,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.555,89,415710.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 417451.799999997, 'date time': 1669838617248}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 417452.59999999404, 'date time': 1669838617249}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 418672.799999997, 'date time': 1669838618469}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 418681, 'date time': 1669838618477}]",p,K,2187.5,420711.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Adding olive juice,5,What turns a plain martini into a dirty martini?,440,1.922,90,420711.0,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 422061.89999999106, 'date time': 1669838621858}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 422062.89999999106, 'date time': 1669838621859}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 423409.59999999404, 'date time': 1669838623206}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 423420.200000003, 'date time': 1669838623216}]",p,K,2079.5,425720.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Adam,1,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.747,91,425720.59999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 427039, 'date time': 1669838626835}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 427040, 'date time': 1669838626836}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 428184.200000003, 'date time': 1669838627980}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 428191.39999999106, 'date time': 1669838627988}]",p,K,1887.2000000029802,430715.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
"A peanut is a legume, not a nut",7,What type of food is a peanut?,447,1.955,92,430715.39999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 431736.799999997, 'date time': 1669838631533}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 431738.200000003, 'date time': 1669838631534}]",p,K,1872.7000000029802,435058.700000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Museum of Modern Art in NYC ,6,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.152,93,435058.799999997,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 435415.59999999404, 'date time': 1669838635212}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 435425.200000003, 'date time': 1669838635221}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 436549.299999997, 'date time': 1669838636346}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 436552.59999999404, 'date time': 1669838636349}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 437729.59999999404, 'date time': 1669838637526}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 437735.700000003, 'date time': 1669838637532}]",p,K,2069.7999999970198,439710.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Geyser,4,What English word comes from the name of a hot spring in Iceland's Haukadalur valley? ,171,1.392,94,439710.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 440531.200000003, 'date time': 1669838640328}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 440533.59999999404, 'date time': 1669838640330}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 442441.59999999404, 'date time': 1669838642238}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 442451.799999997, 'date time': 1669838642248}]",p,K,2075.7999999970198,443714.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The paper clip,4,"""Gem"" is the trade name for the most common, three-loop design of what?",4,1.539,95,443715.0,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 445883.39999999106, 'date time': 1669838645680}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 445885.09999999404, 'date time': 1669838645681}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 447066.5, 'date time': 1669838646863}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 447076.89999999106, 'date time': 1669838646873}]",p,K,2650.0,448714.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Pumpkin,3,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,360,1.025,96,448714.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 450502.39999999106, 'date time': 1669838650299}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 450503.89999999106, 'date time': 1669838650300}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 451710.5, 'date time': 1669838651507}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 451718.59999999404, 'date time': 1669838651515}]",p,K,2109.7999999970198,452715.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Uncle Tom's Cabin ,4,What was the first American novel to sell one million copies? ,281,1.154,97,452715.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 452743.59999999404, 'date time': 1669838652540}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 452747.5, 'date time': 1669838652544}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 455620.799999997, 'date time': 1669838655417}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 455630.39999999106, 'date time': 1669838655427}]",p,K,2133.0,456714.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Draw,5,What does a screever do on a sidewalk? ,167,1.388,98,456714.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 458349.59999999404, 'date time': 1669838658146}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 458351.299999997, 'date time': 1669838658148}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 459378.39999999106, 'date time': 1669838659175}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 459388.299999997, 'date time': 1669838659185}]",p,K,2105.0,461718.700000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Choking on food,4,"Each year, approximately 125 people die of what? ",417,0.671,99,461718.700000003,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 464375.799999997, 'date time': 1669838664172}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 464377.200000003, 'date time': 1669838664173}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 465675, 'date time': 1669838665471}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 465682.200000003, 'date time': 1669838665478}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 465717.200000003, 'date time': 1669838665513}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 465717.59999999404, 'date time': 1669838665514}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 465733, 'date time': 1669838665529}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 465771.299999997, 'date time': 1669838665568}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 465803.39999999106, 'date time': 1669838665600}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 465804, 'date time': 1669838665600}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 465814, 'date time': 1669838665610}]",p,K,3137.2999999970198,466055.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The Galapagos Islands ,1,What islands are home to most of the world's blue-footed boobies? ,216,1.268,100,466055.0,"[{'event': 'visibilitychange', 'details': 'hidden', 'performance time': 469018.89999999106, 'date time': 1669838668817}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 470272.59999999404, 'date time': 1669838670071}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 470296, 'date time': 1669838670094}]",p,K,6187.399999991059,474025.200000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Marven (Marvin) Gardens,6,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.604,101,474025.200000003,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 474509.09999999404, 'date time': 1669838674308}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 476936.39999999106, 'date time': 1669838676735}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 480596.5, 'date time': 1669838680395}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 482539.89999999106, 'date time': 1669838682338}]",,,,483555.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Woodrow Wilson,3,Which U.S. president's home was named Shadow Lawn?,356,1.141,102,483555.200000003,,p,K,1880.5,487085.299999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Social Security,2,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.591,103,487085.299999997,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 488124.39999999106, 'date time': 1669838687923}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 490380.299999997, 'date time': 1669838690179}]",,,,497715.200000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Poland,7,What EU nation was once led by a president and a prime minister who were identical twins? ,172,1.638,104,497715.299999997,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 497991.700000003, 'date time': 1669838697790}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 498014.200000003, 'date time': 1669838697813}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 498989.5, 'date time': 1669838698788}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 498994.799999997, 'date time': 1669838698793}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 500741.09999999404, 'date time': 1669838700540}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 500742.200000003, 'date time': 1669838700541}]",p,K,3571.0999999940395,503438.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Botany Bay,7,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.059,105,503438.09999999404,,p,K,1812.6000000089407,506822.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Zinfindel,6,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.792,106,506822.89999999106,,p,K,3503.0,512633.5,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Bacon,2,"In Britain, what kind of meat comes in rashers?",397,0.692,107,512633.5,,p,K,3094.3999999910593,516943.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Rechargeable batteries,5,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,0.551,108,516943.59999999404,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 521185.700000003, 'date time': 1669838720984}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 521196.299999997, 'date time': 1669838720995}]",p,K,3622.4000000059605,521722.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Montenegro,1,What European country is named for the dark-looking Dinaric Alps? ,173,0.696,109,521722.89999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 526630.099999994, 'date time': 1669838726429}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 526630.599999994, 'date time': 1669838726429}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 527648.200000003, 'date time': 1669838727447}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 527656.700000003, 'date time': 1669838727455}]",p,K,5337.600000008941,528718.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
A red giant ,3,"What kind of enormous, cool star will our own sun become in five billion years? ",224,0.531,110,528718.8999999911,,,,,539718.599999994,,,,,HRV,HRV_0272,2022-11-30 20:06:44
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",2,Cooking which food requires over two years of training?,461,1.933,111,539718.700000003,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 539721.599999994, 'date time': 1669838739517}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 539722.299999997, 'date time': 1669838739518}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 542591.5, 'date time': 1669838742387}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 542598.099999994, 'date time': 1669838742394}]",q,S,2096.2999999970198,544719.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Rhesus antigens (Rh or RhD),7,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,1.642,112,544719.0,,,,,555719.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Pressure,6,What is measured in millibars? ,202,0.676,113,555719.0,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 564911.8999999911, 'date time': 1669838764707}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 564913.5, 'date time': 1669838764709}]",,,,565728.200000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Rod Serling ,5,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,175,1.464,114,565728.200000003,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 567420.8999999911, 'date time': 1669838767217}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 567431.5, 'date time': 1669838767227}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 571219.700000003, 'date time': 1669838771015}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 571221.3999999911, 'date time': 1669838771017}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 572088.099999994, 'date time': 1669838771884}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 572098.3999999911, 'date time': 1669838771894}]",p,K,5739.29999999702,573718.3999999911,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,6,What is the most fattening product in the modern diet?,457,1.025,115,573718.3999999911,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 579114.799999997, 'date time': 1669838778910}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 579118.5, 'date time': 1669838778914}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 580171.099999994, 'date time': 1669838779967}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 580179.599999994, 'date time': 1669838779975}]",p,K,5738.4000000059605,581714.200000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The names of the Great Lakes ,5,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,0.532,116,581714.200000003,,,,,592710.299999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Lolita by Vladimir Nabokov,3,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,0.901,117,592710.299999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 598884.5, 'date time': 1669838798680}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 598886.3999999911, 'date time': 1669838798682}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 600076.700000003, 'date time': 1669838799874}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 600084.099999994, 'date time': 1669838799881}]",p,K,6847.5999999940395,601720.299999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
